the;o,a,os,as;0;
of;de;0;;;;
to;para;0;;;;
and;e;0;;;;
a;um,uma;0;;;;
in;em,dentro;0;;;;
is;é;0;;;;
it;este;0;;;;
you;você;0;;;;
that;que,aquele;0;;;;
he;ele;0;;;;
was;era,estava;0;;;;
for;por,para;0;;;;
on;em;0;;;;
are;sâo,est�o;0;;;;
with;com;0;;;;
as;como,enquanto;0;;;;
I;eu;0;;;;
his;seu;0;;;;
they;eles;0;;;;
be;ser,estar;0;;;;
at;em;0;;;;
one;um;0;;;;
have;ter;0;;;;
this;este;0;;;;
from;de;0;;;;
or;ou;0;;;;
had;tinha;0;;;;
by;por,em;0;;;;
hot;quente;0;;;;
word;palavra;0;;;;
but;mas;0;;;;
what;o-que;0;;;;
some;algum;0;;;;
we;n�s;0;;;;
can;pode,lata;0;;;;
out;fora;0;;;;
other;outro;0;;;;
were;eram,esavam;0;;;;
all;todo;0;;;;
there;l�;0;;;;
when;quando;0;;;;
up;para-cima;0;;;;
use;usar;0;;;;
your;seu;0;;;;
how;como,qu�o;0;;;;
said;disse;0;;;;
an;um,uma;0;;;;
each;cada;0;;;;
she;ela;0;;;;
which;qual;0;;;;
do;fazer,mesmo;0;;;;
their;seus;0;;;;
time;tempo,hora;0;;;;
if;se;0;;;;
will;vai,vontade;0;;;;
way;caminho,jeito;0;;;;
about;sobre,quase;0;;;;
many;muitos;0;;;;
then;ent�o;0;;;;
them;deles;0;;;;
write;escrever;0;;;;
would;deveria;0;;;;
like;como,gostar;0;;;;
so;assim,t�o;0;;;;
these;estes;0;;;;
her;dela;0;;;;
long;longo;0;;;;
make;fazer;0;;;;
thing;coisa;0;;;;
see;ver;0;;;;
him;dele;0;;;;
two;dois,duas;0;;;;
has;tem;0;;;;
look;olhar;0;;;;
more;mais;0;;;;
day;dia;0;;;;
could;poderia;0;;;;
go;ir;0;;;;
come;vir;0;;;;
did;fez,mesmo;0;;;;
number;n�mero;0;;;;
sound;som;0;;;;
no;n�o;0;;;;
most;mais,maior;0;;;;
people;pessoas,povo;0;;;;
my;meu;0;;;;
over;sobre,acima-de;0;;;;
know;saber;0;;;;
water;�gua;0;;;;
than;que;0;;;;
call;chamar;0;;;;
first;primeiro;0;;;;
who;quem;0;;;;
may;maio,pode;0;;;;
down;baixo;0;;;;
side;lado;0;;;;
been;sido,estado;0;;;;
now;agora;0;;;;
find;encontrar;0;;;;
any;qualquer;0;;;;
new;novo;0;;;;
work;trabalho;0;;;;
part;parte;0;;;;
take;pegar;0;;;;
get;obter;0;;;;
place;lugar;0;;;;
made;feito;0;;;;
live;laivviver,vivo;0;;;;
where;onde;0;;;;
after;ap�s;0;;;;
back;atr�s,costas;0;;;;
little;pequeno,pouco;0;;;;
only;somente;0;;;;
round;redondo,rodada;0;;;;
man;homem;0;;;;
year;ano;0;;;;
came;chegado;0;;;;
show;mostrar;0;;;;
every;cada;0;;;;
good;bom;0;;;;
me;me,eu;0;;;;
give;dar;0;;;;
our;nosso;0;;;;
under;sob;0;;;;
name;nome;0;;;;
very;muito,absoluto;0;;;;
through;atrav�s-de;0;;;;
just;justo,s�;0;;;;
form;forma,formul�rio;0;;;;
sentence;senten�a;0;;;;
great;�timo,excelente,grande;0;;;;
think;pensar;0;;;;
say;dizer;0;;;;
help;ajudar;0;;;;
low;baixo;0;;;;
line;linha,fila;0;;;;
differ;diferir;0;;;;
turn;tornar,vez;0;;;;
cause;causa;0;;;;
much;muito;0;;;;
mean;meio,significar;0;;;;
before;antes;0;;;;
move;movimento;0;;;;
right;direito;0;;;;
boy;garoto;0;;;;
old;velho;0;;;;
too;tamb�m;0;;;;
same;mesmo;0;;;;
tell;contar;0;;;;
does;faz,mesmo;0;;;;
set;conjunto,fixar;0;;;;
three;tr�s;0;;;;
want;querer;0;;;;
air;ar;0;;;;
well;bem,po�o;0;;;;
also;tamb�m;0;;;;
play;pe�a,tocar;0;;;;
small;pequeno;0;;;;
end;fim,finalizar;0;;;;
put;por;0;;;;
home;casa;0;;;;
read;ler,lido;0;;;;
hand;m�o;0;;;;
port;porto;0;;;;
large;grande;0;;;;
spell;soletrar,encanto;0;;;;
add;adicionar;0;;;;
even;mesmo;0;;;;
land;terra;0;;;;
here;aqui;0;;;;
must;dever;0;;;;
big;grande;0;;;;
high;alto;0;;;;
such;tal;0;;;;
follow;seguir;0;;;;
act;ato,agir;0;;;;
why;por-que;0;;;;
ask;pedir,perguntar;0;;;;
men;homens;0;;;;
change;mudar;0;;;;
went;foi;0;;;;
light;leve,luz;0;;;;
kind;bom,tipo;0;;;;
off;por,desligado;0;;;;
need;precisar;0;;;;
house;casa;0;;;;
picture;foto,filme;0;;;;
try;tentar;0;;;;
us;nos;0;;;;
again;de-novo;0;;;;
animal;animal;0;;;;
point;ponto;0;;;;
mother;m�e;0;;;;
world;mundo;0;;;;
near;perto;0;;;;
build;construir;0;;;;
self;pr�prio,ego;0;;;;
earth;terra;0;;;;
father;pai;0;;;;
head;cabe�a;0;;;;
stand;permanecer,de-p�,banca;0;;;;
own;pr�prio;0;;;;
page;p�gina;0;;;;
should;deveria;0;;;;
country;pa�s;0;;;;
found;encontrado,fundar;0;;;;
answer;resposta;0;;;;
school;escola;0;;;;
grow;crescer;0;;;;
study;estudo;0;;;;
still;at�,calmo;0;;;;
learn;aprender;0;;;;
plant;planta,f�brica;0;;;;
cover;cobrir;0;;;;
food;comida;0;;;;
sun;sol;0;;;;
four;quatro;0;;;;
between;entre;0;;;;
state;estado;0;;;;
keep;guardar;0;;;;
eye;olho;0;;;;
never;nunca;0;;;;
last;�ltimo,durar;0;;;;
let;deixar;0;;;;
thought;pensamento,pensado;0;;;;
city;cidade;0;;;;
tree;�rvore;0;;;;
cross;cruz,cruzar;0;;;;
farm;fazenda;0;;;;
hard;duro;0;;;;
start;come�ar;0;;;;
might;poder,poderia;0;;;;
story;est�ria,andar(pr�dio);0;;;;
saw;viu,serra;0;;;;
far;longe;0;;;;
sea;mar;0;;;;
draw;arrastar,empate;0;;;;
left;esquerda,deixado;0;;;;
late;tarde;0;;;;
run;correr;0;;;;
don�t;n�o;0;;;;
while;enquanto;0;;;;
press;press�o,imprensa;0;;;;
close;fechar;0;;;;
night;noite;0;;;;
real;real;0;;;;
life;vida;0;;;;
few;alguns;0;;;;
north;norte;0;;;;
open;aberto;0;;;;
seem;parecer;0;;;;
together;juntos;0;;;;
next;pr�ximo;0;;;;
white;branco;0;;;;
children;crian�as;0;;;;
begin;come�ar;0;;;;
got;ficado;0;;;;
walk;andar;0;;;;
example;exemplo;0;;;;
ease;facilitar;0;;;;
paper;papel;0;;;;
group;grupo;0;;;;
always;sempre;0;;;;
music;m�sica;0;;;;
those;aqueles;0;;;;
both;ambos;0;;;;
mark;marcar;0;;;;
often;muitas-vezes;0;;;;
letter;letra,carta;0;;;;
until;at�;0;;;;
mile;milha;0;;;;
river;rio;0;;;;
car;carro;0;;;;
feet;p�s;0;;;;
care;cuidado;0;;;;
second;segundo;0;;;;
book;livro;0;;;;
carry;carregar;0;;;;
took;pego;0;;;;
science;ci�ncia;0;;;;
eat;comer;0;;;;
room;c�modo,quarto;0;;;;
friend;amigo;0;;;;
sight;vis�o;0;;;;
began;come�ado;0;;;;
idea;id�ia;0;;;;
fish;peixe,pescar;0;;;;
mountain;montanha;0;;;;
stop;parar;0;;;;
once;uma-vez;0;;;;
base;base;0;;;;
hear;ouvir;0;;;;
horse;cavalo;0;;;;
cut;cortar;0;;;;
sure;certo;0;;;;
watch;assistir,rel�gio;0;;;;
color;cor,colorir;0;;;;
face;rosto;0;;;;
wood;madeira;0;;;;
main;principal;0;;;;
enough;bastante;0;;;;
plain;plano,simples;0;;;;
girl;garota;0;;;;
usual;usual,comum;0;;;;
young;jovem;0;;;;
ready;pronto;0;;;;
above;acima;0;;;;
ever;sempre,j�;0;;;;
red;vermelho;0;;;;
list;lista;0;;;;
though;apesar-de;0;;;;
feel;sentir,sentimendo;0;;;;
talk;conversar;0;;;;
bird;p�ssaro;0;;;;
soon;logo;0;;;;
body;corpo;0;;;;
dog;cachorro;0;;;;
family;fam�lia;0;;;;
direct;direto;0;;;;
pose;posi��o;0;;;;
leave;deixar;0;;;;
song;can��o;0;;;;
measure;medida;0;;;;
door;porta;0;;;;
product;produto;0;;;;
black;negro;0;;;;
short;curto;0;;;;
numeral;numeral;0;;;;
class;classe;0;;;;
wind;vento;0;;;;
question;quest�o,pergunta;0;;;;
happen;acontecer;0;;;;
complete;completo;0;;;;
ship;navio,embarcar;0;;;;
area;�rea;0;;;;
half;metade;0;;;;
rock;roque,rocha;0;;;;
order;ordem,pedido;0;;;;
fire;fogo,inc�ndio,despedir;0;;;;
south;sul;0;;;;
problem;problema;0;;;;
piece;pe�a,peda�o;0;;;;
told;contado;0;;;;
knew;sabido;0;;;;
pass;passar;0;;;;
since;desde;0;;;;
top;topo,principal;0;;;;
whole;inteiro;0;;;;
king;rei;0;;;;
space;espa�o;0;;;;
heard;ouvido;0;;;;
best;melhor;0;;;;
hour;hora;0;;;;
better;melhor;0;;;;
true;verdadeiro;0;;;;
during;durante;0;;;;
hundred;cem;0;;;;
five;cinco;0;;;;
remember;lembrar;0;;;;
step;passo;0;;;;
early;cedo;0;;;;
hold;guardar;0;;;;
west;oeste;0;;;;
ground;terra,amolado;0;;;;
interest;interesse,juros;0;;;;
reach;alcan�ar;0;;;;
fast;r�pido;0;;;;
verb;verbo;0;;;;
sing;cantar;0;;;;
listen;ouvir;0;;;;
six;seis;0;;;;
table;mesa,tabela;0;;;;
travel;viajar;0;;;;
less;menos;0;;;;
morning;manh�;0;;;;
ten;dez;0;;;;
simple;simples;0;;;;
several;v�rios;0;;;;
vowel;vogal;0;;;;
toward;para;0;;;;
war;guerra;0;;;;
lay;deitar,amador;0;;;;
against;contra;0;;;;
pattern;padr�o;0;;;;
slow;devagar;0;;;;
center;centro;0;;;;
love;amor,amar;0;;;;
person;pessoa;0;;;;
money;dinheiro;0;;;;
serve;servir;0;;;;
appear;aparecer;0;;;;
road;estrada;0;;;;
map;mapa;0;;;;
rain;chuva;0;;;;
rule;r�gua,regra;0;;;;
govern;governar;0;;;;
pull;puxar;0;;;;
cold;frio;0;;;;
notice;aviso;0;;;;
voice;voz;0;;;;
unit;unidade;0;;;;
power;poder,for�a;0;;;;
town;municipal;0;;;;
fine;bom,excelente;0;;;;
certain;certo;0;;;;
fly;voar,mosca;0;;;;
fall;cair,queda,outono;0;;;;
lead;levar,chumbo;0;;;;
cry;choro,chorar;0;;;;
dark;escuro;0;;;;
machine;m�quina;0;;;;
note;anotar;0;;;;
wait;esperar;0;;;;
plan;plano;0;;;;
figure;figura,imaginar;0;;;;
star;estrela;0;;;;
box;caixa;0;;;;
noun;substantivo;0;;;;
field;campo;0;;;;
rest;resto,descanso;0;;;;
correct;correto;0;;;;
able;capaz;0;;;;
pound;libra;0;;;;
done;feito;0;;;;
beauty;beleza;0;;;;
drive;dire��o,dirigir;0;;;;
stood;permanecido;0;;;;
contain;conter;0;;;;
front;frente;0;;;;
teach;ensinar;0;;;;
week;semana;0;;;;
final;final;0;;;;
gave;dado;0;;;;
green;verde;0;;;;
oh;�;0;;;;
quick;r�pido;0;;;;
develop;desenvolver;0;;;;
ocean;oceano;0;;;;
warm;quente;0;;;;
free;livre,gr�tis;0;;;;
minute;minuto;0;;;;
strong;forte;0;;;;
special;especial;0;;;;
mind;mente,importar-se;0;;;;
behind;atr�s;0;;;;
clear;claro;0;;;;
tail;rabo;0;;;;
produce;produ��o;0;;;;
fact;fato;0;;;;
street;rua;0;;;;
inch;polegada;0;;;;
multiply;multiplicar;0;;;;
nothing;nada;0;;;;
course;curso;0;;;;
stay;ficar;0;;;;
wheel;roda;0;;;;
full;cheio;0;;;;
force;for�a,for�ar;0;;;;
